T,Ch_0,Ch_1
0,0.000259101,-0.001071328
3.90625E-05,0.000240889,-0.00113554
0.000078125,0.000275436,-0.000909296
0.000117188,0.000290832,-0.000883198
0.00015625,0.000289705,-0.000730929
0.000195313,0.000331762,-0.00064888
0.000234375,0.000320873,-0.000703892
0.000273438,0.000338146,-0.000509942
0.0003125,0.000364432,-0.000439909
0.000351563,0.00038715,-0.000282195
0.000390625,0.000405174,-0.000248212
0.000429688,0.000395411,-0.000218734
0.00046875,0.00043653,5.53876161833236E-05
0.000507813,0.000447044,-6.83E-05
0.000546875,0.000435215,-2.01E-05
0.000585938,0.000467697,0.000177991
0.000625,0.000483093,8.63671303197588E-05
0.000664063,0.000488162,0.000174049
0.000703125,0.000500178,0.000240701
0.000742188,0.000500554,0.000316742
0.00078125,0.00051088,0.000334954
0.000820313,0.000512758,0.000313175
0.000859375,0.000518391,0.000490415
0.000898438,0.000526276,0.000411934
0.0009375,0.000527215,0.000440097
0.000976563,0.000543362,0.000539607
0.001015625,0.000537354,0.000425452
0.001054688,0.000544488,0.000524962
0.00109375,0.000545239,0.000507125
0.001132813,0.000536603,0.000531533
0.001171875,0.000557443,0.000642496
0.001210938,0.000541484,0.00054937
0.00125,0.000542986,0.000560072
0.001289063,0.000542986,0.000449485
0.001328125,0.000518015,0.000434089
0.001367188,0.000537917,0.000521019
0.00140625,0.000525337,0.00038133
0.001445313,0.000527403,0.000520456
0.001484375,0.000551435,0.000550684
0.001523438,0.000536227,0.000390717
0.0015625,0.000538856,0.000436717
0.001601563,0.000530031,0.000386962
0.001640625,0.000517452,0.000339085
0.001679688,0.000522709,0.00031693
0.00171875,0.000516513,0.000293648
0.001757813,0.000506938,0.000288954
0.001796875,0.000507125,0.000288203
0.001835938,0.000533974,0.000366497
0.001875,0.000558195,0.000528342
0.001914063,0.000558195,0.00054017
0.001953125,0.00057359,0.000579035
0.001992188,0.000585794,0.000684553
0.00203125,0.00057866,0.000596496
0.002070313,0.000576219,0.000673851
0.002109375,0.000589925,0.000718349
0.002148438,0.000603631,0.000701076
0.0021875,0.000602505,0.000709713
0.002226563,0.000616211,0.000741443
0.002265625,0.000631419,0.00082199
0.002304688,0.000639305,0.000769418
0.00234375,0.000630105,0.000856161
0.002382813,0.000629917,0.000877377
0.002421875,0.000645688,0.000831941
0.002460938,0.0006271,0.0009031
0.0025,0.000629729,0.000786504
0.002539063,0.000614333,0.000711027
0.002578125,0.000592929,0.000780308
0.002617188,0.000620154,0.00076679
0.00265625,0.000603819,0.000716284
0.002695313,0.000591052,0.00061377
0.002734375,0.000589925,0.00059537
0.002773438,0.000564015,0.000577909
0.0028125,0.00057359,0.000500742
0.002851563,0.000573027,0.000577533
0.002890625,0.000567207,0.000525525
0.002929688,0.000561199,0.000432587
0.00296875,0.000530782,0.000434652
0.003007813,0.000541484,0.000334954
0.003046875,0.000529656,0.000365746
0.003085938,0.000525713,0.000359926
0.003125,0.000556505,0.000293836
0.003164063,0.000521958,0.000317305
0.003203125,0.000514072,0.000262481
0.003242188,0.000536415,0.000261354
0.00328125,0.000528717,0.000209346
0.003320313,0.000528905,0.000231126
0.003359375,0.000522897,0.000262856
0.003398438,0.000523648,0.000169167
0.0034375,0.000521958,0.000217044
0.003476563,0.000522333,0.000219485
0.003515625,0.000552937,0.000218546
0.003554688,0.000530407,0.000158277
0.00359375,0.000504309,0.000117534
0.003632813,0.000514823,0.000144759
0.003671875,0.000493231,2.06530094242902E-05
0.003710938,0.000518015,9.36895609338254E-05
0.00375,0.000534913,0.000165787
0.003789063,0.000504497,0.000138187
0.003828125,0.000523835,0.000131992
0.003867188,0.000516701,9.91344452365928E-05
0.00390625,0.00050675,0.000162971
0.003945313,0.000530407,0.000130677
0.003984375,0.00051257,0.000115281
0.004023438,0.000516888,2.44081020468884E-05
0.0040625,0.000513321,-5.28E-05
0.004101563,0.00051088,5.97059726993115E-05
0.004140625,0.000532848,5.63263893389732E-05
0.004179688,0.000504684,0.000163534
0.00421875,0.000514072,0.000203151
0.004257813,0.000525713,0.000117159
0.004296875,0.000509003,0.000288767
0.004335938,0.000545239,0.000420758
0.004375,0.000560635,0.000439721
0.004414063,0.000556505,0.000439721
0.004453125,0.000578284,0.000362554
0.004492188,0.000567582,0.000312424
0.00453125,0.000554064,0.000333452
0.004570313,0.000553501,0.00035204
0.004609375,0.000548244,0.000275999
0.004648438,0.000543174,0.000181746
0.0046875,0.000517827,0.000223616
0.004726563,0.00052177,0.000269616
0.004765625,0.000528905,0.000250089
0.004804688,0.000519329,0.000293273
0.00484375,0.000532472,0.000271681
0.004882813,0.000527966,0.000239575
0.004921875,0.000523835,0.00026173
0.004960938,0.00053266,0.000284636
0.005,0.000529093,0.000253093
0.005039063,0.000526276,0.000178179
0.005078125,0.000520831,0.00021573
0.005117188,0.000513884,0.000153208
