T,Ch_0,Ch_1
0,0.020608971,1.197764745
3.90625E-05,0.020608971,1.22751157
0.000078125,0.020915653,1.214478168
0.000117188,0.020608971,1.229658248
0.00015625,0.020762312,1.195924735
0.000195313,0.020915653,1.191171377
0.000234375,0.020608971,1.182891333
0.000273438,0.020915653,1.186418018
0.0003125,0.020915653,1.196231404
0.000351563,0.020608971,1.184884677
0.000390625,0.020608971,1.23119159
0.000429688,0.021068993,1.19868475
0.00046875,0.021068993,1.236404951
0.000507813,0.021068993,1.196384738
0.000546875,0.020762312,1.219998197
0.000585938,0.02030229,1.216164843
0.000625,0.021222334,1.215091504
0.000664063,0.021068993,1.231651592
0.000703125,0.020608971,1.224444887
0.000742188,0.021375675,1.213558163
0.00078125,0.020915653,1.212944826
0.000820313,0.020148949,1.222298209
0.000859375,0.020608971,1.215398172
0.000898438,0.020915653,1.207118128
0.0009375,0.02030229,1.22306488
0.000976563,0.020762312,1.215551507
0.001015625,0.020608971,1.239164966
0.001054688,0.020915653,1.239011631
0.00109375,0.020455631,1.211718153
0.001132813,0.020915653,1.253271707
0.001171875,0.021068993,1.242844985
0.001210938,0.020915653,1.236711619
0.00125,0.020608971,1.176604633
0.001289063,0.020762312,1.190098038
0.001328125,0.020915653,1.210951482
0.001367188,0.021222334,1.217698185
0.00140625,0.020762312,1.241771646
0.001445313,0.020762312,1.231498258
0.001484375,0.020915653,1.264005098
0.001523438,0.020915653,1.249285019
0.0015625,0.020455631,1.252658371
0.001601563,0.020915653,1.252965039
0.001640625,0.020915653,1.216471511
0.001679688,0.021375675,1.230884921
0.00171875,0.02030229,1.238091626
0.001757813,0.020455631,1.261091749
0.001796875,0.020915653,1.262011754
0.001835938,0.020608971,1.263545095
0.001875,0.020608971,1.306631991
0.001914063,0.020915653,1.249438354
0.001953125,0.020455631,1.278111839
0.001992188,0.021068993,1.242998319
0.00203125,0.020148949,1.243458322
0.002070313,0.020608971,1.263238427
0.002109375,0.020762312,1.239624968
0.002148438,0.02030229,1.260325078
0.0021875,0.020915653,1.249591688
0.002226563,0.020608971,1.257411729
0.002265625,0.020762312,1.252351702
0.002304688,0.020762312,1.213404828
0.00234375,0.020915653,1.26998513
0.002382813,0.020455631,1.221378204
0.002421875,0.020762312,1.198838084
0.002460938,0.020762312,1.233338268
0.0025,0.020608971,1.235024944
0.002539063,0.020915653,1.264925103
0.002578125,0.020915653,1.238244961
0.002617188,0.020915653,1.265078437
0.00265625,0.021375675,1.250665027
0.002695313,0.020455631,1.28255853
0.002734375,0.020608971,1.26185842
0.002773438,0.021222334,1.256031722
0.0028125,0.020915653,1.234411607
0.002851563,0.020762312,1.238091626
0.002890625,0.020915653,1.18795136
0.002929688,0.020762312,1.229044912
0.00296875,0.021068993,1.213711497
0.003007813,0.020455631,1.257258395
0.003046875,0.020915653,1.232111595
0.003085938,0.020455631,1.237018287
0.003125,0.020762312,1.221991541
0.003164063,0.021068993,1.226898234
0.003203125,0.021068993,1.221531538
0.003242188,0.020915653,1.211411485
0.00328125,0.021068993,1.255265051
0.003320313,0.020608971,1.228431575
0.003359375,0.020915653,1.292831918
0.003398438,0.020915653,1.197151409
0.0034375,0.020762312,1.272285142
0.003476563,0.021068993,1.217084848
0.003515625,0.020455631,1.241004975
0.003554688,0.020455631,1.234258273
0.00359375,0.020762312,1.239778302
0.003632813,0.021068993,1.206964794
0.003671875,0.020455631,1.211411485
0.003710938,0.020148949,1.215398172
0.00375,0.020455631,1.203591443
0.003789063,0.020608971,1.193471389
0.003828125,0.021068993,1.24008497
0.003867188,0.020762312,1.214324833
0.00390625,0.020608971,1.234718275
0.003945313,0.020762312,1.221838207
0.003984375,0.020762312,1.214324833
0.004023438,0.020915653,1.232571597
0.0040625,0.020455631,1.247751678
0.004101563,0.020455631,1.26262509
0.004140625,0.020608971,1.258485068
0.004179688,0.021068993,1.270445132
0.00421875,0.021222334,1.251738366
0.004257813,0.020915653,1.260171744
0.004296875,0.020608971,1.227818238
0.004335938,0.02030229,1.216318177
0.004375,0.020608971,1.256185056
0.004414063,0.020608971,1.24376499
0.004453125,0.020915653,1.211871487
0.004492188,0.021068993,1.218464855
0.00453125,0.020608971,1.24008497
0.004570313,0.020762312,1.26185842
0.004609375,0.020148949,1.242844985
0.004648438,0.020455631,1.264005098
0.0046875,0.020915653,1.254958383
