T,Ch_0,Ch_1
0,0.000178555,0.000685868
3.90625E-05,1.13E-06,1.50E-06
0.000078125,1.97E-05,-0.000159591
0.000117188,0.000176677,0.00023413
0.00015625,0.000268865,-0.000182685
0.000195313,-5.61E-05,0.0008755
0.000234375,-6.97E-05,0.000407052
0.000273438,0.000439346,-0.000150767
0.0003125,0.000319371,0.001353523
0.000351563,0.00024915,0.001595163
0.000390625,0.000133681,0.001641726
0.000429688,0.00035786,0.001068699
0.00046875,0.000764537,0.001598355
0.000507813,0.000188881,0.002777642
0.000546875,8.05E-05,0.00165562
0.000585938,0.000736749,0.001148495
0.000625,0.00073168,0.003600758
0.000664063,0.000176677,0.003143013
0.000703125,0.000284824,0.001070389
0.000742188,0.000746888,0.002314639
0.00078125,0.00053848,0.002610353
0.000820313,0.00022324,0.002220386
0.000859375,0.000306228,0.001624641
0.000898438,0.00057866,0.00194664
0.0009375,0.000613394,0.002345994
0.000976563,0.000188693,0.001976117
0.001015625,0.000449485,0.001359531
0.001054688,0.000579786,0.000926945
0.00109375,0.000196955,0.002320272
0.001132813,0.000351289,0.001545784
0.001171875,0.000205591,0.000374946
0.001210938,0.000349224,0.000576594
0.00125,0.000439534,0.001460168
0.001289063,0.000191322,0.001206324
0.001328125,0.000150767,0.000246522
0.001367188,0.000134057,-0.000308105
0.00140625,0.000410807,0.000188506
0.001445313,0.000166538,0.001983064
0.001484375,2.40E-05,-0.000971067
0.001523438,0.000277126,-0.001076961
0.0015625,0.000190946,0.001367792
0.001601563,2.52E-05,-0.00085879
0.001640625,-2.91E-05,-0.00138469
0.001679688,0.000163347,0.000202212
0.00171875,0.000227934,-0.000279567
0.001757813,-4.94E-05,-0.001309025
0.001796875,-0.000110587,-0.001249695
0.001835938,0.00020653,-0.000163534
0.001875,0.000195453,0.000591052
0.001914063,-2.18E-05,-0.001343009
0.001953125,4.39E-05,-0.000537542
0.001992188,0.000266048,0.000453427
0.00203125,0.000242391,-0.000312236
0.002070313,1.09E-05,6.63E-05
0.002109375,-6.20E-06,-0.001061565
0.002148438,0.00021742,0.000395975
0.0021875,0.000332889,0.00027675
0.002226563,0.000117534,-0.000358799
0.002265625,0.000273934,0.001563808
0.002304688,0.000514635,0.000263795
0.00234375,0.000315616,0.000848088
0.002382813,0.000284448,0.001398209
0.002421875,0.000277877,-3.98E-05
0.002460938,0.000469762,0.001455286
0.0025,0.000515386,0.002477235
0.002539063,0.00030604,6.10E-05
0.002578125,0.000210285,0.000467321
0.002617188,0.00041137,0.002293235
0.00265625,0.000893149,0.001057622
0.002695313,0.000203526,0.00312818
0.002734375,0.000207093,0.000766039
0.002773438,0.000553688,-0.00110043
0.0028125,0.000345844,0.003682807
0.002851563,0.000609452,0.000742945
0.002890625,-2.57E-05,0.00019151
0.002929688,0.000398603,0.0025713
0.00296875,0.000808471,0.00118567
0.003007813,0.000289893,0.001564372
0.003046875,0.000171983,0.000290832
0.003085938,7.12E-05,-0.000277689
0.003125,0.000732619,0.001298136
0.003164063,0.000650382,0.003252098
0.003203125,4.32E-05,0.001070577
0.003242188,0.000126359,-0.002278027
0.00328125,0.000130489,-0.000261918
0.003320313,0.000289893,0.001418298
0.003359375,0.000465256,0.000465256
0.003398438,0.000307167,0.001254952
0.0034375,0.000198644,0.000834945
0.003476563,0.000119975,-0.00328458
0.003515625,0.000149828,-0.000686619
0.003554688,-1.92E-05,-0.000773549
0.00359375,-0.000196016,-0.002599838
0.003632813,0.000365558,0.001613
0.003671875,0.000500178,0.000180995
0.003710938,-1.20E-05,-0.001339066
0.00375,-0.000129551,-0.001550665
0.003789063,0.000311673,-0.001023638
0.003828125,0.000273371,-0.000965059
0.003867188,-0.000202212,0.000606072
0.00390625,0.000507501,-0.000395036
0.003945313,5.54E-05,-0.002492818
0.003984375,-2.20E-05,0.00188055
0.004023438,0.000607198,-0.001202381
0.0040625,-0.000418881,-0.000777492
0.004101563,0.000745761,0.001967293
0.004140625,0.000544864,-0.001542029
0.004179688,-0.000530782,7.44E-05
0.00421875,0.000357297,-0.000449672
0.004257813,0.000171044,-0.000980079
0.004296875,0.000542048,0.002388427
0.004335938,0.000391468,0.000462064
0.004375,-0.000168791,-0.001234674
0.004414063,0.000377387,0.000813165
0.004453125,0.000397289,0.000761533
0.004492188,4.69E-06,0.000944969
0.00453125,0.000502995,0.001044479
0.004570313,0.000503746,0.000485721
0.004609375,0.000110775,0.000566643
0.004648438,0.000230187,-0.00012542
0.0046875,1.93E-05,0.001545408
0.004726563,0.000645313,0.002557594
0.004765625,0.000842455,3.00E-06
0.004804688,7.25E-05,0.000550121
0.00484375,-5.76E-05,0.000365934
0.004882813,0.000535852,0.000528905
0.004921875,0.000645313,0.003555322
0.004960938,0.000396913,0.00106532
0.005,0.000464693,-0.000246146
0.005039063,0.00029515,0.000321248
0.005078125,0.000364807,0.001393703
0.005117188,0.000330448,0.001798126
0.00515625,0.000356734,0.000184751
0.005195313,0.000515762,0.001547286
0.005234375,0.000489289,-0.0006179
0.005273438,0.000204653,0.000463378
0.0053125,0.000180808,0.001686975
0.005351563,0.000174049,-0.001700306
0.005390625,0.000228497,0.000383395
0.005429688,0.000375885,0.000468823
0.00546875,0.000243893,-0.000647753
0.005507813,0.000454554,2.33E-05
0.005546875,-4.66E-05,-0.000662774
0.005585938,0.000118849,-5.26E-06
0.005625,0.000603819,0.000745386
0.005664063,0.000137436,-0.001198062
0.005703125,9.46E-05,-0.001705563
0.005742188,0.000412685,0.002020052
0.00578125,0.000505811,0.000511256
0.005820313,9.97E-05,-0.001628771
0.005859375,0.000181371,-0.001121271
0.005898438,0.000393158,9.95E-05
0.0059375,0.000162783,0.002249864
0.005976563,0.000251591,-0.001625204
0.006015625,0.000516701,-0.001775971
0.006054688,0.000144383,0.001326674
0.00609375,1.93E-05,0.000761721
0.006132813,0.000822929,0.000109273
0.006171875,0.000166351,-0.001599294
0.006210938,-0.000152457,-0.000910422
0.00625,0.000546929,0.000952104
0.006289063,0.000352415,0.001811457
0.006328125,0.000619403,0.002209872
0.006367188,0.000305289,-0.001107001
0.00640625,0.000413248,0.000562888
0.006445313,0.000631231,0.004047802
0.006484375,0.000162032,-0.001723775
0.006523438,0.000503746,0.000807157
0.0065625,0.000443664,0.005923283
0.006601563,0.000780308,-0.001194307
0.006640625,0.000401232,0.000886577
0.006679688,0.000247273,0.003955239
0.00671875,0.000815794,0.000278252
0.006757813,0.000359175,0.003161976
0.006796875,0.000835133,0.00061039
0.006835938,0.000315991,-0.001918101
0.006875,2.33E-05,0.003547999
0.006914063,0.000677982,0.002011603
0.006953125,0.00055519,2.53E-05
0.006992188,0.000646439,0.00192073
0.00703125,0.000105894,-0.002025121
0.007070313,0.000408554,0.001360658
0.007109375,0.000592178,0.003033927
0.007148438,-8.45E-05,-0.003033927
0.0071875,0.00045737,0.000229248
0.007226563,0.000567207,0.000207657
0.007265625,-0.000164285,-0.001364037
0.007304688,1.37E-05,-0.000229812
0.00734375,0.000535852,-0.002158615
0.007382813,0.000234881,-8.51E-05
0.007421875,-0.000174612,-0.001088977
0.007460938,-4.79E-05,-0.003732938
0.0075,0.000187567,-0.000200334
0.007539063,0.000287265,0.000363868
0.007578125,0.000289518,-0.002398002
0.007617188,2.40E-05,-0.00122416
0.00765625,-4.69E-06,-0.001086724
0.007695313,0.000290832,-0.001929367
0.007734375,0.000227934,-0.000130114
0.007773438,0.000102514,-0.001619571
0.0078125,-5.39E-05,-0.001822159
0.007851563,0.000340211,0.000129363
0.007890625,0.000634423,-0.000466383
0.007929688,-0.000308105,-0.000716659
0.00796875,4.98E-05,-0.001772028
0.008007813,0.000701639,-0.000979516
0.008046875,6.33E-05,0.000350162
0.008085938,-5.80E-05,-0.001202568
0.008125,0.000160906,-0.001892567
0.008164063,0.000566643,0.00018813
0.008203125,0.000228122,0.000695255
0.008242188,-2.95E-05,-0.001225474
0.00828125,0.000479525,-0.000344905
0.008320313,0.000423762,0.000152832
0.008359375,0.000190946,-0.000178179
0.008398438,0.000155273,0.000536039
0.0084375,0.000518954,0.000991532
0.008476563,0.000650194,0.001591408
0.008515625,0.000268677,0.001455474
0.008554688,0.0001748,2.38E-05
0.00859375,0.000520831,-0.000418505
0.008632813,0.000392407,0.000602129
0.008671875,0.00021911,0.00125007
0.008710938,0.000416815,0.001456788
0.00875,0.000381705,0.000797394
0.008789063,0.000482154,0.000625598
0.008828125,0.000502431,0.001148683
0.008867188,0.000458497,0.001069263
0.00890625,0.000279003,0.000279754
0.008945313,0.00026342,-0.000991908
0.008984375,0.000481027,5.01E-05
0.009023438,0.000242954,0.001222095
0.0090625,0.000160155,-0.000933141
0.009101563,0.000443664,-0.000644186
0.009140625,0.000406113,0.000660896
0.009179688,1.30E-05,-0.001384315
0.00921875,4.96E-05,-0.001381874
0.009257813,0.000413436,-0.00010289
0.009296875,0.000156212,-0.000728863
0.009335938,-0.000155085,-0.000867802
0.009375,0.00027431,-0.001833987
0.009414063,0.000273934,-0.001564747
0.009453125,-6.65E-05,-0.001211393
0.009492188,-0.00014382,-0.002769381
0.00953125,-7.92E-05,-0.001458478
0.009570313,0.000216106,-0.001245376
0.009609375,5.16E-05,-0.003334522
0.009648438,-3.25E-05,-0.002821013
0.0096875,-5.86E-05,-0.001043728
0.009726563,-0.000109836,-0.001206699
0.009765625,0.000196016,-0.001676273
0.009804688,0.000265673,-0.002262631
0.00984375,8.66E-05,-0.002666867
0.009882813,-0.00013124,-0.001140422
0.009921875,-6.63E-05,-0.001023263
0.009960938,0.000132367,-0.001346388
0.01,0.000291958,-0.001788551
0.010039063,9.16E-05,-0.001858395
0.010078125,-6.33E-05,-0.000509566
0.010117188,0.000311297,0.000111338
0.01015625,0.000239199,-0.000359926
0.010195313,0.000208971,-0.001354462
0.010234375,0.000260603,-0.000366873
0.010273438,7.13E-05,-0.000949287
0.0103125,0.000286889,0.000340962
0.010351563,0.00042733,0.001815963
0.010390625,0.000382081,-0.001367229
0.010429688,0.000209534,-0.000354293
0.01046875,0.000152081,0.001429752
0.010507813,0.000511068,0.00113892
0.010546875,0.000625411,0.000460938
0.010585938,0.000146073,0.000782374
0.010625,0.000292709,0.000782749
0.010664063,0.000544864,0.000391844
0.010703125,0.000466758,0.002072999
0.010742188,0.000575092,-0.000821239
0.01078125,-0.000129175,0.000199771
0.010820313,0.000535101,0.001392764
0.010859375,0.000869867,-0.001854265
0.010898438,-0.000138938,0.001929742
0.0109375,0.000109085,0.001671392
0.010976563,0.000485721,-0.001971799
0.011015625,0.00078932,-0.00016391
0.011054688,0.000109461,0.001162577
0.01109375,-0.000159967,-0.000754961
0.011132813,0.000233567,-0.00158371
0.011171875,0.00041813,0.000207093
0.011210938,0.000500178,-0.000253093
0.01125,-6.82E-05,0.000108334
0.011289063,0.000410995,0.000286514
0.011328125,0.000314301,-0.00269672
0.011367188,-0.000141755,-0.000905353
0.01140625,0.000223991,-0.001232985
0.011445313,-6.36E-05,-0.002790409
0.011484375,0.000231314,0.000419444
0.011523438,0.000425452,-0.000700888
0.0115625,-9.99E-05,-0.00133794
0.011601563,0.000239763,-0.002408704
0.011640625,-3.34E-05,-0.004081598
0.011679688,-0.000321248,-0.00103772
0.01171875,0.000301534,-0.000455305
0.011757813,7.92E-05,-0.00220837
0.011796875,9.39E-06,-0.002127448
0.011835938,4.19E-05,-0.001996583
0.011875,-8.05E-05,-0.001590469
0.011914063,9.84E-05,-0.001536208
0.011953125,1.18E-05,-0.001624641
0.011992188,0.000204089,-0.001382625
0.01203125,4.13E-06,-0.001684535
0.012070313,-7.04E-05,-0.00034622
0.012109375,0.000433525,-0.00113723
0.012148438,8.47E-05,-0.001988697
0.0121875,4.04E-05,-0.000272432
0.012226563,0.000259852,0.000562325
0.012265625,0.000232252,-0.000216481
0.012304688,0.000281632,-0.00184544
0.01234375,-0.000125608,-0.000689623
0.012382813,7.15E-05,-0.000472954
0.012421875,0.000356734,-0.000418317
0.012460938,0.000126359,0.000583354
0.0125,0.000117722,-0.000956234
0.012539063,0.000116032,-0.000469574
0.012578125,0.000313738,0.000543362
0.012617188,0.000314113,-0.000218546
0.01265625,6.25E-05,0.000526088
0.012695313,0.000177991,-0.000940463
0.012734375,0.000284073,-0.00141229
0.012773438,0.000211599,0.001409099
