T,Ch_0,Ch_1
0,0.000150016,-7.83E-05
3.90625E-05,0.000200522,-0.000706145
0.000078125,0.000233567,-0.000423199
0.000117188,0.000234506,-0.000789133
0.00015625,0.000241828,-0.000508064
0.000195313,0.000172359,0.000150579
0.000234375,0.000185126,-0.001392576
0.000273438,0.000323877,-0.00112296
0.0003125,0.000208408,-0.000121477
0.000351563,0.000184563,-0.000572464
0.000390625,0.000274873,-0.000986463
0.000429688,0.000300595,-0.00047746
0.00046875,0.000276187,1.82E-05
0.000507813,0.000189444,-0.001028144
0.000546875,0.00037964,0.000128236
0.000585938,0.000364432,0.000824994
0.000625,0.00024333,-0.000469199
0.000664063,0.000308856,0.000371942
0.000703125,0.000219861,3.57E-06
0.000742188,0.00031355,0.000707835
0.00078125,0.000365934,0.000988153
0.000820313,0.000238636,-0.000779933
0.000859375,0.000302285,0.000828373
0.000898438,0.000316554,0.001025328
0.0009375,0.000385273,0.000569835
0.000976563,0.000340399,0.000881696
0.001015625,0.000317681,0.000515386
0.001054688,0.000467509,0.001515931
0.00109375,0.000386962,0.000875124
0.001132813,0.000373632,0.000933328
0.001171875,0.000414562,0.001868534
0.001210938,0.000478587,0.001034716
0.00125,0.000526464,0.001273352
0.001289063,0.000364807,0.002184713
0.001328125,0.000530782,0.001486829
0.001367188,0.000605133,0.001317099
0.00140625,0.000381142,0.001418486
0.001445313,0.000516137,0.001862338
0.001484375,0.000523835,0.001499972
0.001523438,0.000461501,0.000703704
0.0015625,0.000517076,0.002232966
0.001601563,0.000566456,0.00171251
0.001640625,0.00053679,0.000857851
0.001679688,0.000416815,0.001095736
0.00171875,0.00045737,0.001038095
0.001757813,0.000530782,0.001702559
0.001796875,0.000414938,0.000154147
0.001835938,0.000336269,-0.000480652
0.001875,0.000443664,0.00142487
0.001914063,0.000388089,0.000349036
0.001953125,0.000232065,-0.000686619
0.001992188,0.000251967,0.000749516
0.00203125,0.000339273,-0.001149434
0.002070313,0.000331575,-0.000415689
0.002109375,0.000165224,-0.000269991
0.002148438,0.000166914,-0.001640412
0.0021875,0.000168791,0.000771296
0.002226563,0.000130114,-0.002474982
0.002265625,0.000339648,-0.001033777
0.002304688,0.000205404,0.000744259
0.00234375,0.000113967,-0.0018062
0.002382813,0.000212914,-0.000938022
0.002421875,0.000288954,-0.000704643
0.002460938,0.000312799,0.000112465
0.0025,0.00011453,-0.000761533
0.002539063,0.000194889,-0.001569816
0.002578125,0.000397289,-0.000108898
0.002617188,0.000270179,-9.46E-05
0.00265625,0.000198081,-0.001241058
0.002695313,0.000270179,0.000104392
0.002734375,0.00038884,-0.000202399
0.002773438,0.000346971,-0.000840202
0.0028125,8.37E-05,0.00013124
0.002851563,0.000208595,-0.000998291
0.002890625,0.00045568,-0.000349224
0.002929688,0.000253281,-0.000251591
0.00296875,0.000142694,0.000431836
0.003007813,0.000427517,0.000860292
0.003046875,0.000422823,-0.001495278
0.003085938,0.000334954,0.001410413
0.003125,0.000394097,0.001639098
0.003164063,0.000400481,-0.000459999
0.003203125,0.000451174,0.001109254
0.003242188,0.000513884,0.001728469
0.00328125,0.000410619,0.001487392
0.003320313,0.000498301,0.000432587
0.003359375,0.000529093,0.001275042
0.003398438,0.00050337,0.002742344
0.0034375,0.00075008,0.001551041
0.003476563,0.000630105,0.001079589
0.003515625,0.00046995,0.001785922
0.003554688,0.000582039,0.001981375
0.00359375,0.000586545,0.001164642
0.003632813,0.000517827,0.000377575
0.003671875,0.000493795,0.001525882
0.003710938,0.000460562,0.00044066
0.00375,0.000565329,0.000942528
0.003789063,0.000484782,0.001080903
0.003828125,0.000474644,0.000650194
0.003867188,0.000481966,0.000664088
0.00390625,0.00038884,-0.000841141
0.003945313,0.000457934,0.000537354
0.003984375,0.000485158,0.000510505
0.004023438,0.000366873,-0.000413623
0.0040625,0.000270179,-0.000449672
0.004101563,0.000361428,-0.000412872
0.004140625,0.00030435,-0.000184187
0.004179688,0.000237322,-0.001148683
0.00421875,0.000203338,-0.00185802
0.004257813,0.000119224,-0.000659019
0.004296875,0.0001288,-0.001334184
0.004335938,0.000279567,-0.002169317
0.004375,0.00023075,-0.0006179
0.004414063,0.000126734,-0.001532829
0.004453125,0.000126359,-0.002314451
0.004492188,0.000153583,-0.001393703
0.00453125,0.000229624,-0.00173091
0.004570313,0.000142318,-0.001513866
0.004609375,0.000119412,-0.001908714
0.004648438,0.000228873,-0.001370797
0.0046875,0.000171795,-0.00106363
0.004726563,0.000248399,-0.00190402
0.004765625,0.000301722,-0.000951916
0.004804688,0.00018982,-3.94E-05
0.00484375,0.000238261,-0.000850528
0.004882813,0.000334954,-0.000851655
0.004921875,0.000458497,0.000435027
