T,Ch_0,Ch_1
0,0.000164473,-0.002959952
3.90625E-05,0.000292522,-0.000571713
0.000078125,0.000461501,0.000635174
0.000117188,0.000484407,-0.000970691
0.00015625,-7.27E-05,0.000526276
0.000195313,0.000846586,-0.000488538
0.000234375,0.000644186,-0.002798107
0.000273438,-0.000284824,0.001765457
0.0003125,0.000866112,-0.000869492
0.000351563,-9.95E-06,-0.004750192
0.000390625,0.000239199,0.002138525
0.000429688,0.000864422,0.000125232
0.00046875,-0.0001748,-0.001828355
0.000507813,0.000781998,0.000925255
0.000546875,0.000333452,-0.004275173
0.000585938,-0.000293648,0.000376636
0.000625,0.000821802,0.001955277
0.000664063,0.000553501,-0.003173053
0.000703125,0.000172359,-0.001536021
0.000742188,-9.65E-05,-0.001506919
0.00078125,9.71E-05,-0.000885826
0.000820313,0.000664651,-0.000279191
0.000859375,0.000393534,-0.000417379
0.000898438,0.000347534,-0.000802276
0.0009375,0.000119787,0.000236008
0.000976563,0.000601941,-0.00035204
0.001015625,0.000574154,-0.004000112
0.001054688,-0.000413248,0.000798896
0.00109375,0.0006179,0.002211186
0.001132813,0.001001108,-0.002236533
0.001171875,0.000236195,0.000485533
0.001210938,0.000263608,-0.000861794
0.00125,0.000139126,-0.00045737
0.001289063,0.000777867,0.001668388
0.001328125,0.000834569,-0.002128762
0.001367188,-0.000143069,-0.000308293
0.00140625,0.000279379,0.000248024
0.001445313,0.000590301,-0.001771277
0.001484375,0.000183624,-0.000780872
0.001523438,0.000286514,-0.001002234
0.0015625,0.00020822,-0.000692627
0.001601563,0.000559509,0.000352603
0.001640625,0.000571901,-0.000667655
0.001679688,-0.000327256,-0.001435947
0.00171875,0.000308481,-0.000818235
0.001757813,0.000520456,-0.002327406
0.001796875,5.75E-05,-0.002792662
0.001835938,0.00015884,-0.000513697
0.001875,-0.000294963,0.000377011
0.001914063,0.000497174,0.000472954
0.001953125,0.000849214,-0.002672687
0.001992188,4.22E-05,-0.002727512
0.00203125,8.64E-05,0.002247047
0.002070313,0.000245208,0.000713843
0.002109375,0.000558946,-0.00269841
0.002148438,0.000358048,-0.002545765
0.0021875,-0.000184563,0.000112841
0.002226563,0.000312048,0.001302454
0.002265625,0.000695631,-0.000547868
0.002304688,0.000596684,-0.002523234
0.00234375,0.000127298,-4.71E-05
0.002382813,-6.82E-05,0.001550853
0.002421875,0.000753647,-0.002435553
0.002460938,0.000679296,-0.001938754
0.0025,2.53E-05,0.001239744
0.002539063,-7.87E-05,0.000498301
0.002578125,0.000874186,-0.004575768
0.002617188,0.000625223,-0.001987571
0.00265625,-0.000744823,0.001830608
0.002695313,0.000276375,-0.001455098
0.002734375,0.000893337,-0.001539588
0.002773438,0.000166538,-0.001654306
0.0028125,-0.000125983,-0.000362179
0.002851563,0.000292522,-6.38E-05
0.002890625,0.000561386,-0.001069826
0.002929688,0.000287452,-0.001177034
0.00296875,-3.38E-06,-0.001353711
0.003007813,5.35E-05,0.001038846
0.003046875,0.000711778,0.000326318
0.003085938,0.000357297,-0.002356696
0.003125,-3.53E-05,-0.000909483
0.003164063,0.000112277,0.000328946
0.003203125,0.000308105,-0.000205967
0.003242188,0.000635737,-5.18E-05
0.00328125,0.000249338,-0.001754192
0.003320313,0.000114155,-0.001025891
