T,Ch_0,Ch_1
0,0.00049248,0.002053472
3.91E-05,0.000467134,-0.000561199
0.000078125,0.000349787,-0.001163328
0.000117188,0.000293085,0.000193763
0.00015625,0.000265861,-0.001464862
0.000195313,0.000614145,-0.000450048
0.000234375,0.000355232,0.000604382
0.000273438,-9.65E-05,-0.002229774
0.0003125,0.00039973,-0.000596872
0.000351563,0.000460562,-0.000204653
0.000390625,0.000345093,-0.001949832
0.000429688,0.000189632,0.000452113
0.00046875,0.000129926,-0.000484782
0.000507813,0.000528717,-0.003047633
0.000546875,0.00018982,-0.003236702
0.000585938,-0.000151893,0.001049548
0.000625,0.000242579,0.003143951
0.000664063,0.001163515,-0.000736186
0.000703125,0.000839451,-0.000954169
0.000742188,-0.000510505,-0.000769043
0.00078125,0.00025253,-0.000245583
0.000820313,0.000878504,-6.91E-05
0.000859375,0.000473893,0.002753234
0.000898438,0.000302473,-0.000734872
0.0009375,1.92E-05,-0.004136047
0.000976563,0.00059537,0.004055125
0.001015625,0.000536227,-0.000493795
0.001054688,0.000393909,-0.002045774
0.00109375,0.00017311,-0.000119036
0.001132813,8.51E-05,-0.000852218
0.001171875,0.000714406,0.001394078
0.001210938,4.32E-05,-0.002983046
0.00125,0.000102514,-0.001978371
0.001289063,0.000396726,0.000882071
0.001328125,0.000420946,0.002493569
0.001367188,0.00053848,-0.00652898
0.00140625,-0.000203526,-0.003821933
0.001445313,-0.000554439,0.00492011
0.001484375,0.000685304,-0.007995343
0.001523438,0.000850341,0.000297591
0.0015625,-0.000820675,0.003267682
0.001601563,0.000310734,-0.005097538
0.001640625,0.001051801,0.001844689
0.001679688,0.000334767,-0.001269221
0.00171875,-0.000145698,-0.002928784
0.001757813,-0.000248399,0.002539945
0.001796875,0.00152269,0.002655789
0.001835938,0.000294212,-0.004181859
0.001875,-0.000525901,-0.001972175
0.001914063,0.000842643,0.001807889
0.001953125,3.85E-05,-0.000147012
0.001992188,0.00069657,0.003740823
0.00203125,0.001073018,-0.000174987
