T,Ch_0,Ch_1
0,-0.000318995,-0.000291583
3.90625E-05,-9.14E-05,-0.000333077
0.000078125,-0.000140253,-0.002074313
0.000117188,-0.000241265,-0.000952479
0.00015625,-0.000220424,-0.001180038
0.000195313,-0.000189632,-0.002042019
0.000234375,-0.000194702,-0.000666904
0.000273438,-0.000307918,-0.001932746
0.0003125,-0.000364432,-0.002643961
0.000351563,-0.000155649,0.000367999
0.000390625,3.45E-05,-0.001175344
0.000429688,-0.000319183,-0.00226019
0.00046875,-0.000323689,-0.000576782
0.000507813,-0.000161469,-0.001302454
0.000546875,-0.000263795,-0.001875293
0.000585938,-0.000267363,-0.00160211
0.000625,-0.000339836,-0.001140046
0.000664063,-0.000195828,-0.000140628
0.000703125,-8.88E-05,-0.00136798
0.000742188,-0.000245208,-0.001226413
0.00078125,-0.00024164,-0.000134057
0.000820313,-0.000157526,-0.00215148
0.000859375,-0.000238824,-0.000397852
0.000898438,-0.000161657,0.000339648
0.0009375,-8.20E-05,-0.001870599
0.000976563,-0.000149077,-0.001101932
0.001015625,-0.000270554,6.65E-05
0.001054688,-0.000312236,0.00020484
0.00109375,0.000144383,-0.000579035
0.001132813,0.000208971,0.00011791
0.001171875,-0.000297591,0.000365558
0.001210938,-0.000359362,-0.000384897
0.00125,0.000168979,-0.000122228
0.001289063,0.000120351,0.000172922
0.001328125,-0.000343779,0.00023582
0.001367188,2.82E-06,-0.00049755
0.00140625,0.000117347,0.000867802
0.001445313,5.14E-05,0.001716641
0.001484375,-5.82E-06,-0.000818047
0.001523438,-0.000202399,-0.000842643
0.0015625,-0.000104392,0.000378889
0.001601563,-4.32E-05,5.58E-05
0.001640625,8.22E-05,-0.00019564
0.001679688,-0.000211787,-0.000609452
0.00171875,-0.000133118,1.92E-05
0.001757813,-5.65E-05,-0.000594431
0.001796875,-0.000239199,-0.000916994
0.001835938,0.000174987,0.000663149
0.001875,-0.000187004,-0.00119825
0.001914063,-0.00050675,-0.001393327
0.001953125,-6.42E-05,-0.000143069
0.001992188,9.20E-06,-0.000394285
0.00203125,-0.000275061,0.000178555
0.002070313,-0.000185689,-0.00186384
0.002109375,-3.92E-05,-0.000508252
0.002148438,-0.000112465,0.00070408
0.0021875,-0.000342089,-0.001959407
0.002226563,-0.000379452,-0.001436135
0.002265625,-1.11E-05,-4.51E-06
0.002304688,-5.14E-05,-0.000691688
0.00234375,-0.000186253,-0.001797938
0.002382813,-0.000234318,-1.80E-05
0.002421875,1.95E-05,-1.30E-05
0.002460938,2.76E-05,-0.000198081
0.0025,-0.000389028,-0.001048046
0.002539063,-5.09E-05,-0.002104542
0.002578125,1.56E-05,0.000866488
0.002617188,-0.000338709,5.82E-05
0.00265625,-0.000139689,-0.001840746
0.002695313,2.07E-05,-0.001261336
0.002734375,-0.000330824,0.000819361
0.002773438,-0.000356171,0.000332513
0.0028125,0.000167853,-0.001506168
0.002851563,6.85E-05,0.000489852
0.002890625,-0.000456244,-0.000456056
0.002929688,-0.00026004,-0.000671598
0.00296875,0.000162596,0.00188055
0.003007813,0.0001288,0.000602692
0.003046875,-0.000104767,-0.000856912
0.003085938,-6.78E-05,0.000441599
0.003125,0.000253281,0.001287434
0.003164063,3.19E-06,0.001857457
0.003203125,-1.31E-06,0.000865173
0.003242188,0.000137436,-0.000344905
0.00328125,4.64E-05,0.001131034
0.003320313,0.000249901,0.00167571
0.003359375,-8.71E-05,0.001116577
0.003398438,9.61E-05,0.000651509
0.0034375,0.000337583,0.001412478
0.003476563,-0.000144759,0.000841704
0.003515625,1.48E-05,-6.20E-05
0.003554688,9.11E-05,0.00048835
0.00359375,-2.29E-05,0.000545427
0.003632813,0.000118473,0.001326674
0.003671875,5.14E-05,0.00024502
0.003710938,-0.000149828,-0.000339836
0.00375,-0.000219861,-0.00039297
0.003789063,0.000155085,0.000344342
0.003828125,0.000239012,0.001328552
0.003867188,-0.000202963,-0.000656953
0.00390625,-0.000130677,3.83E-05
0.003945313,7.13E-06,5.28E-05
0.003984375,-5.05E-05,-0.000247085
0.004023438,-2.57E-05,2.48E-05
0.0040625,-0.000238448,-0.00116896
0.004101563,-4.77E-05,-0.000454742
0.004140625,2.44E-05,0.000428456
0.004179688,-0.000165412,0.000143069
0.00421875,-0.000183436,-0.002373594
0.004257813,-0.000180995,-0.000265485
0.004296875,0.000210848,0.001415107
0.004335938,-0.000323126,-0.00170913
0.004375,-0.000332513,-0.000987965
0.004414063,0.000235257,-0.000759467
0.004453125,-0.000371379,-0.000472766
0.004492188,-0.000173298,0.000314113
0.00453125,-2.44E-05,-0.000854284
0.004570313,-0.00013462,-0.000677794
0.004609375,-5.26E-05,0.000441223
0.004648438,-0.000131616,-0.000520644
