T,Ch_0,Ch_1
0,0.001702371,-0.000422636
3.90625E-05,0.001706126,-0.000466946
0.000078125,0.001688477,-0.000445166
0.000117188,0.001681343,-0.000532848
0.00015625,0.001694861,-0.000453615
0.000195313,0.001701432,-0.00029102
0.000234375,0.001691294,-0.000348097
0.000273438,0.001684535,-0.00046826
0.0003125,0.001688665,-0.000611141
0.000351563,0.001695049,-0.000511444
0.000390625,0.001675898,-0.000446293
0.000429688,0.001684535,-0.000599125
0.00046875,0.001680967,-0.000552937
0.000507813,0.001654118,-0.000527591
0.000546875,0.001673269,-0.000576594
0.000585938,0.001661441,-0.000663713
0.000625,0.00165318,-0.000638554
0.000664063,0.001665384,-0.000359926
0.000703125,0.001677963,-0.00045324
0.000742188,0.001680404,-0.000597435
0.00078125,0.001661628,-0.00045737
0.000820313,0.0016958,-0.000331762
0.000859375,0.001716641,-0.000267363
0.000898438,0.001728845,-0.000228685
0.0009375,0.001739359,-9.03E-05
0.000976563,0.00172171,-8.81E-05
0.001015625,0.001747432,-0.00016804
0.001054688,0.001744804,-0.000113779
0.00109375,0.001743114,-6.50E-05
0.001132813,0.001761889,-3.60E-05
0.001171875,0.001753628,-5.50E-05
0.001210938,0.001746681,-0.000148326
0.00125,0.001717392,-0.000208408
0.001289063,0.001715702,-0.000271118
0.001328125,0.001722461,-0.000268489
0.001367188,0.001722836,-0.000216857
0.00140625,0.001721334,-0.000218922
0.001445313,0.001713073,-0.000171795
0.001484375,0.001740861,-0.000170293
0.001523438,0.001738983,-0.000260603
0.0015625,0.001725277,-0.000192824
0.001601563,0.001745367,5.05E-05
0.001640625,0.001775596,0.000130865
0.001679688,0.001776159,9.56E-05
0.00171875,0.001752877,4.39E-05
0.001757813,0.001752689,-8.54E-05
0.001796875,0.001753253,-0.000162783
0.001835938,0.001746681,-4.77E-05
0.001875,0.001751,9.91E-05
0.001914063,0.001772591,0.000108898
0.001953125,0.001781604,9.97E-05
0.001992188,0.00177353,9.89E-05
0.00203125,0.001788551,0.00018813
0.002070313,0.001800942,0.000190383
0.002109375,0.001798689,0.000176302
0.002148438,0.001810142,0.000259101
0.0021875,0.001825163,0.000252154
0.002226563,0.001826477,0.000207657
0.002265625,0.001809391,0.00017142
0.002304688,0.001792493,0.000177053
0.00234375,0.001780853,6.78E-05
0.002382813,0.001790616,2.42E-05
0.002421875,0.001804885,0.000140253
0.002460938,0.00179531,0.000152645
0.0025,0.001793432,9.44E-05
0.002539063,0.001785734,8.94E-05
0.002578125,0.001788175,0.000132743
0.002617188,0.001774281,5.39E-05
0.00265625,0.001765457,-3.66E-05
0.002695313,0.00179193,2.87E-05
0.002734375,0.001790428,8.39E-05
0.002773438,0.001775408,6.33E-05
0.0028125,0.001761138,4.06E-05
0.002851563,0.001781604,4.21E-05
0.002890625,0.00177353,5.35E-05
0.002929688,0.001761138,-9.39E-07
0.00296875,0.00179362,1.90E-05
0.003007813,0.001775408,0.000175738
0.003046875,0.001765645,0.000247085
0.003085938,0.001773342,0.000200334
